,polarity,subjectivity,filtered_polarity,filtered_subjectivity,Open,High,Low,Close,Volume,Market Cap
2019-12-25,0.07952674897119343,0.27618312757201646,0,1,7325.75589098,7357.01996276,7220.99109225,7275.15572845,21559505148.8096,131840641291.733
2019-12-26,0.0005772005772005749,0.2436868686868687,0,1,7274.79942782,7388.30253592,7200.38659835,7238.96702501,22787010034.3503,131200030099.764
2019-12-27,0.03257575757575757,0.19191919191919193,0,0,7238.14118032,7363.52923526,7189.93393524,7290.08851803,22777360995.5688,132139502950.02199
2019-12-28,0.003088578088578086,0.1761072261072261,0,0,7289.0311303,7399.04088941,7286.90517228,7317.99003408,21365673026.1211,132659059739.795
2019-12-29,0.17649572649572648,0.22991452991452993,0,1,7317.64758783,7513.94840873,7279.86546765,7422.65258898,22445257701.742,134570835775.06
2019-12-30,0.02605452674897119,0.24470164609053496,0,1,7420.27278806,7454.82402731,7276.30814028,7292.99507783,22874131671.9859,132235128152.19801
2019-12-31,0.017654220779220773,0.3025974025974026,0,1,7294.4388956,7335.2900508,7169.77768628,7193.59897843,21167946112.2959,130446112598.42
2020-01-01,0.10227272727272727,0.16382575757575757,0,0,7194.89197053,7254.33061134,7174.94415256,7200.17439274,18565664996.7884,130580829149.58699
2020-01-02,-0.029038461538461534,0.1896153846153846,0,0,9346.35762761,9439.323332,9313.2387904,9392.87536841,25922656496.1848,170900662180.114
2020-01-03,0.09166666666666667,0.35555555555555557,0,1,8599.7583441,8726.79676016,8471.21262606,8562.45405008,35349164300.1413,156238987739.90698
2020-01-13,0.015010330578512398,0.3987293388429752,0,1,8189.77206362,8197.78817891,8079.70074107,8144.19451744,22482910687.9031,147890525972.52698
2020-01-14,0.05579166666666666,0.25254166666666666,0,1,8140.93309605,8879.51152651,8140.93309605,8827.76442606,44841784107.1774,160319484882.901
2020-01-15,0.004754545454545448,0.2573111111111111,0,1,8825.34368451,8890.11741953,8657.18744654,8807.01027532,40102834649.9655,159959191211.678
2020-01-16,0.03452995867768595,0.30839531680440774,0,1,8812.48149122,8846.46109861,8612.09583682,8723.78576573,31313981930.8235,158465055984.185
2020-01-17,0.04900493025493026,0.3111479377104377,0,1,8725.20996387,8958.12195167,8677.316348299999,8929.037677600001,36372139320.4446,162211148777.656
2020-01-18,0.08070075757575758,0.255530303030303,0,1,8927.21225983,9012.19810645,8827.33234474,8942.80890321,32337772626.799,162475965880.12
2020-01-19,0.019365530303030315,0.1793087121212121,0,0,8941.44574506,9164.36225977,8620.0799932,8706.24512993,34217320471.3994,158194319734.796
2020-01-20,0.02362012987012987,0.24053932178932177,0,1,8704.63181434,8745.59079709,8560.47404294,8657.64293942,26422375678.0529,157327553259.434
2020-01-21,0.06077158135981667,0.18408454290807233,0,0,8658.99118302,8755.70629569,8544.52045256,8745.89478833,24097418512.0058,158947996833.847
2020-01-22,0.07098214285714287,0.2052083333333333,0,1,8744.21075075,8792.9938714,8636.747434899999,8680.87604222,22600204050.5816,157783273070.10098
2020-01-23,0.028609625668449195,0.10835561497326204,0,0,8680.65055954,8687.74708842,8333.63787363,8406.516067800001,25770680778.6907,152813329632.858
2020-01-24,-0.01018862090290662,0.21031230674087817,0,1,8405.56773288,8514.66703526,8266.84057849,8445.43428152,24397913025.6774,153536829768.103
2020-01-25,0.032607323232323245,0.3386679292929293,0,1,8440.11958702,8458.45301525,8296.21900672,8367.84777344,19647331548.6757,152143262649.888
2020-01-26,-0.07500000000000001,0.3583333333333334,0,1,8364.41006958,8602.40124618,8325.49808268,8596.82983316,22177678795.56,156322174637.231
2020-01-27,0.012750463821892403,0.4905117501546073,0,1,8597.30877926,8977.7269618,8597.30877926,8909.81917753,28647338393.165,162027957434.616
2020-01-28,0.024673202614379084,0.4295751633986928,0,1,8912.52433979,9358.59031703,8908.44692853,9358.59031703,34398744402.6914,170205617954.856
2020-01-29,0.09487179487179488,0.33044871794871794,0,1,9357.47037892,9406.43179329,9269.46813861,9316.62950445,30682598115.464,169460984603.208
2020-01-30,0.08750000000000001,0.19555555555555557,0,0,9316.01697842,9553.12613251,9230.89727886,9508.993594700001,32378792850.8777,172978577930.867
2020-01-31,-0.02092074592074592,0.3798368298368298,0,1,9508.31314184,9521.70592625,9230.77618023,9350.52936518,29432489719.1331,170112778161.315
2020-02-01,-0.021517379679144386,0.3398440285204991,0,1,7202.55112207,7212.15525252,6935.26997193,6985.47000061,20802083465.3292,126699395235.20401
2020-02-02,0.13124999999999998,0.3055555555555556,0,1,9389.82059095,9468.79761797,9217.82397728,9344.36529292,30835736946.1066,170034976661.751
2020-02-03,0.13846153846153847,0.4534188034188035,0,1,8563.26425933,8921.30839546,8532.63094465,8869.67031078,42857674408.8765,161861167745.164
2020-02-13,-0.03466329966329967,0.3003198653198653,0,1,10323.960493200002,10457.6271997,10116.1614999,10214.3794638,49356071372.9288,186065003525.648
2020-02-14,0.010075757575757578,0.34143939393939393,0,1,10211.5503892,10321.995797299998,10125.533790700001,10312.1160909,43338264161.5617,187862645448.77698
2020-02-15,0.1175,0.36673076923076925,0,1,10313.8568369,10341.5559017,9874.4275077,9889.42462838,43865054831.0045,180179996218.63397
2020-02-16,0.14616883116883117,0.2496103896103896,0,1,9889.17970534,10053.969009100001,9722.38715745,9934.43339025,43374780305.4408,181017665264.45898
2020-02-17,0.012499999999999992,0.2732142857142857,0,1,9936.56026014,9938.815779999999,9507.63799409,9690.14261814,45998298412.6028,176585280987.035
2020-02-18,0.036265597147950086,0.3711420932009167,0,1,9691.23094489,10161.935314100001,9632.38276334,10141.9963705,47271023953.4278,184838512656.137
2020-02-19,0.0816899766899767,0.33920163170163176,0,1,10143.798356799998,10191.6758471,9611.22354001,9633.38688518,46992019709.9208,175585931679.441
2020-02-20,0.13333333333333333,0.23000000000000004,0,1,9629.32531033,9643.21673144,9507.90006137,9608.47590343,44925260236.83099,175147142158.083
2020-02-21,-0.031944444444444456,0.42916666666666664,0,1,9611.78201954,9723.01498512,9589.74360064,9686.44119763,40930547512.6559,176587087363.478
